bytes        	 repeticoes  	 t[usec]        	 tempo de spawn[usec]	 
5000         	 5000        	 46090         	 326                 	 
5000         	 5000        	 60061         	 345                 	 
5000         	 5000        	 43939         	 330                 	 
5000         	 5000        	 86647         	 326                 	 
5000         	 5000        	 44099         	 327                 	 
5000         	 5000        	 42894         	 326                 	 
5000         	 5000        	 89891         	 321                 	 
5000         	 5000        	 46016         	 322                 	 
5000         	 5000        	 43861         	 339                 	 
5000         	 5000        	 49471         	 333                 	 
10000        	 5000        	 83887         	 329                 	 
10000        	 5000        	 90865         	 346                 	 
10000        	 5000        	 84402         	 323                 	 
10000        	 5000        	 85670         	 326                 	 
10000        	 5000        	 98477         	 329                 	 
10000        	 5000        	 87164         	 346                 	 
10000        	 5000        	 100189        	 323                 	 
10000        	 5000        	 82784         	 322                 	 
10000        	 5000        	 81329         	 327                 	 
10000        	 5000        	 88866         	 410                 	 
50000        	 5000        	 335253        	 330                 	 
50000        	 5000        	 361691        	 324                 	 
50000        	 5000        	 455485        	 323                 	 
50000        	 5000        	 337244        	 323                 	 
50000        	 5000        	 403295        	 323                 	 
50000        	 5000        	 403063        	 323                 	 
50000        	 5000        	 330164        	 323                 	 
50000        	 5000        	 456896        	 498                 	 
50000        	 5000        	 322363        	 328                 	 
50000        	 5000        	 329720        	 324                 	 
5000         	 10000       	 87137         	 325                 	 
5000         	 10000       	 86823         	 388                 	 
5000         	 10000       	 193218        	 401                 	 
5000         	 10000       	 96011         	 319                 	 
5000         	 10000       	 83060         	 324                 	 
5000         	 10000       	 87271         	 325                 	 
5000         	 10000       	 119905        	 319                 	 
5000         	 10000       	 80512         	 320                 	 
5000         	 10000       	 77187         	 325                 	 
5000         	 10000       	 112302        	 323                 	 
10000        	 10000       	 146534        	 327                 	 
10000        	 10000       	 153794        	 323                 	 
10000        	 10000       	 141039        	 327                 	 
10000        	 10000       	 147367        	 327                 	 
10000        	 10000       	 145452        	 325                 	 
10000        	 10000       	 135057        	 321                 	 
10000        	 10000       	 170233        	 328                 	 
10000        	 10000       	 161364        	 324                 	 
10000        	 10000       	 142345        	 322                 	 
10000        	 10000       	 147891        	 327                 	 
50000        	 10000       	 741038        	 326                 	 
50000        	 10000       	 669079        	 326                 	 
50000        	 10000       	 655893        	 324                 	 
50000        	 10000       	 692479        	 324                 	 
50000        	 10000       	 738577        	 324                 	 
50000        	 10000       	 770804        	 323                 	 
50000        	 10000       	 687920        	 334                 	 
50000        	 10000       	 631652        	 327                 	 
50000        	 10000       	 683954        	 324                 	 
50000        	 10000       	 838681        	 326                 	 
5000         	 50000       	 371392        	 320                 	 
5000         	 50000       	 306822        	 328                 	 
5000         	 50000       	 452978        	 330                 	 
5000         	 50000       	 334559        	 320                 	 
5000         	 50000       	 408269        	 321                 	 
5000         	 50000       	 316105        	 320                 	 
5000         	 50000       	 408114        	 347                 	 
5000         	 50000       	 306496        	 321                 	 
5000         	 50000       	 427457        	 321                 	 
5000         	 50000       	 325483        	 320                 	 
10000        	 50000       	 641325        	 328                 	 
10000        	 50000       	 553561        	 326                 	 
10000        	 50000       	 649308        	 325                 	 
10000        	 50000       	 534398        	 324                 	 
10000        	 50000       	 595559        	 321                 	 
10000        	 50000       	 793154        	 321                 	 
10000        	 50000       	 577385        	 323                 	 
10000        	 50000       	 596632        	 316                 	 
10000        	 50000       	 542886        	 328                 	 
10000        	 50000       	 742234        	 329                 	 
50000        	 50000       	 2989195       	 322                 	 
50000        	 50000       	 2890208       	 323                 	 
50000        	 50000       	 2912335       	 326                 	 
50000        	 50000       	 3118701       	 327                 	 
50000        	 50000       	 2987885       	 329                 	 
50000        	 50000       	 2960877       	 335                 	 
50000        	 50000       	 2820893       	 321                 	 
50000        	 50000       	 3085548       	 325                 	 
50000        	 50000       	 2882964       	 322                 	 
