bytes        	 repeticoes  	 t[usec]        	 tempo de spawn[usec]	 
5000         	 5000        	 67991         	 586                 	 
5000         	 5000        	 46353         	 582                 	 
5000         	 5000        	 81926         	 588                 	 
5000         	 5000        	 47238         	 581                 	 
5000         	 5000        	 46222         	 653                 	 
5000         	 5000        	 45784         	 578                 	 
5000         	 5000        	 44938         	 657                 	 
5000         	 5000        	 46343         	 589                 	 
5000         	 5000        	 104869        	 580                 	 
5000         	 5000        	 47690         	 581                 	 
10000        	 5000        	 113070        	 583                 	 
10000        	 5000        	 83442         	 582                 	 
10000        	 5000        	 246433        	 587                 	 
10000        	 5000        	 114313        	 995                 	 
10000        	 5000        	 91488         	 587                 	 
10000        	 5000        	 86145         	 588                 	 
10000        	 5000        	 138686        	 589                 	 
10000        	 5000        	 80973         	 607                 	 
10000        	 5000        	 82554         	 584                 	 
10000        	 5000        	 80146         	 584                 	 
50000        	 5000        	 334711        	 582                 	 
50000        	 5000        	 373500        	 582                 	 
50000        	 5000        	 407006        	 588                 	 
50000        	 5000        	 322787        	 595                 	 
50000        	 5000        	 353259        	 588                 	 
50000        	 5000        	 331466        	 577                 	 
50000        	 5000        	 453388        	 586                 	 
50000        	 5000        	 327242        	 581                 	 
50000        	 5000        	 329390        	 581                 	 
50000        	 5000        	 353586        	 581                 	 
5000         	 10000       	 253118        	 578                 	 
5000         	 10000       	 149873        	 596                 	 
5000         	 10000       	 251969        	 579                 	 
5000         	 10000       	 95861         	 581                 	 
5000         	 10000       	 102341        	 588                 	 
5000         	 10000       	 169403        	 581                 	 
5000         	 10000       	 85008         	 597                 	 
5000         	 10000       	 89513         	 583                 	 
5000         	 10000       	 89808         	 582                 	 
5000         	 10000       	 101834        	 603                 	 
10000        	 10000       	 319310        	 584                 	 
10000        	 10000       	 156230        	 582                 	 
10000        	 10000       	 150612        	 649                 	 
10000        	 10000       	 161859        	 583                 	 
10000        	 10000       	 162992        	 594                 	 
10000        	 10000       	 263713        	 583                 	 
